"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000117245.13",95.914293747537,-1.79418088441087,0.49810551936653,-3.60200964384543,0.000315766647218208,0.0295944720356873
"ENSG00000118526.7",137.491658178629,-1.62873044867463,0.478095845398851,-3.40670278637511,0.000657526852641216,0.0417506667661999
"ENSG00000121210.16",873.251639511169,-1.88726242380562,0.489453539400795,-3.85585611683607,0.000115325308434499,0.0172518704013208
"ENSG00000122122.10",907.476190000622,-2.26671383214913,0.635114094423779,-3.56898681992825,0.000358364451520146,0.0310210890124128
"ENSG00000122223.13",58.9448789383228,-2.20930366402262,0.564788215695109,-3.91173824564228,9.16341984598396e-05,0.0151985036924269
"ENSG00000123329.20",627.971143143896,-2.00424321670696,0.580166430515679,-3.45460045822627,0.000551108859690782,0.0387717125016906
"ENSG00000123338.13",1753.40140910308,-1.91779708926266,0.559229779453771,-3.42935437225084,0.000605019013221264,0.0403607465327886
"ENSG00000126838.10",11.1107459637744,-2.33222758818644,0.541926721922992,-4.30358477232989,1.68056501744035e-05,0.00589641318362692
"ENSG00000127084.19",843.963075058367,-1.66514625255341,0.48967147477813,-3.40053758146294,0.000672534905066361,0.0423109488435657
"ENSG00000128815.19",879.545702018131,-2.59081601396753,0.728835876630072,-3.55473172636166,0.000378364934473695,0.0319589912399432
"ENSG00000133048.13",1765.79584890741,-2.63535092431199,0.774643699734654,-3.40201685654283,0.000668905119090935,0.0421795539035982
"ENSG00000134061.5",395.073536239974,-2.26231070576043,0.659884836561874,-3.42834170511859,0.000607280567984392,0.0403607465327886
"ENSG00000135218.19",1561.99686947604,-2.94122632912637,0.73332966415984,-4.01078324370809,6.05176507829378e-05,0.0120013518041787
"ENSG00000135723.14",1365.82977925967,-1.12108291868511,0.264114341929849,-4.24468777611054,2.18897996791707e-05,0.00718768932338888
"ENSG00000136011.15",78.9227388019438,-4.72320811071315,0.815450722751478,-5.79214412218091,6.94934674794995e-09,2.37728465563933e-05
"ENSG00000136490.9",1357.57655619923,-1.96685454225147,0.586188551737208,-3.35532745636633,0.00079271090009007,0.0462339824531136
"ENSG00000137101.13",432.896791157439,-2.30147104011652,0.606777859135469,-3.79293839659152,0.000148875099395202,0.0196049877311785
"ENSG00000138756.18",385.944567673078,-1.10202797491762,0.318072108582469,-3.46471113053249,0.00053080130294745,0.037954849018442
"ENSG00000138964.17",876.187238583127,-2.05411323257245,0.5712307639575,-3.59594293966506,0.000323218648097291,0.0299848296355206
"ENSG00000140678.17",1771.90064171692,-1.74246628444625,0.491526692406503,-3.54500846315217,0.000392600480323137,0.0327570041006198
"ENSG00000140968.11",1907.08337362658,-2.13647463322505,0.564150427729252,-3.78706552049339,0.000152436914189059,0.0196344061631861
"ENSG00000142347.19",1403.21446266606,-1.68340090673432,0.450575880339741,-3.73610967694278,0.000186889179737907,0.021857248640544
"ENSG00000143768.13",14.6249490429273,-3.03443842496138,0.685728329179644,-4.42513207612635,9.63832958767182e-06,0.00439620276376358
"ENSG00000143869.7",107.913062508744,-3.2269621042944,0.684059352050882,-4.71737151845031,2.38911180294294e-06,0.00192302419738646
